# Copies and Copyright-Notice
#
#      RegulonDB is free for academic/noncommercial use
#
#      User is not entitled to change or erase data sets of the RegulonDB
#      database or to eliminate copyright notices from RegulonDB. Furthermore,
#      User is not entitled to expand RegulonDB or to integrate RegulonDB partly
#      or as a whole into other databank systems, without prior written consent
#      from CCG-UNAM.
#
#      Please check the license at http://regulondb.ccg.unam.mx/menu/download/full_version/terms_and_conditions.jsp
#
# Citation
#
#      Tierrafría, V. H. et al. (2022). RegulonDB 11.0: Comprehensive high-throughput datasets on transcriptional regulation in Escherichia coli K-12,
#      Microb Genom. 2022 May;8(5). doi: 10.1099/mgen.0.000833. PMID: 35584008. https://doi.org/10.1099/mgen.0.000833
#
#
# Contact
#
#      Person: RegulonDB Team
#      Web Page: http://regulondb.ccg.unam.mx/menu/about_regulondb/contact_us/index.jsp
#          (regulondb@ccg.unam.mx)
#
#
# Release: 11.0 Date:  08/22/2022
# ___________________________________________________________________________
#
# Columns:
#  (1) Transcription Factor (TF) Name
#  (2) TUName (regulated)
#  (3) Regulatory Function of the TF on the regulated gene (+ activator, - repressor, +- dual, ? unknown)
#  (4) Evidence that supports the existence of the TFBS
#  (5) Evidence of the function of the TFRS#  (6) Object confidence level based on  its evidence (Values: Confirmed, Strong, Weak)
#
AaeR	aaeXAB[aaeXp]	+	[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
H-NS	leuO[leuOp2]	-	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.]	[BPP|S|Binding of purified proteins],[GEA|W|Gene expression analysis]	STRONG	
H-NS	lrp[lrpp]	-	[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
H-NS	malEFGH[malEp]	+	[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
H-NS	mdtUJI[mdtJp]	-	[AIBSCS|W|Automated inference based on similarity to consensus sequences],[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
H-NS	micF[micFp1]	-	[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
H-NS	micF[micFp2]	-	[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
H-NS	nhaAR[nhaAp1]	-	[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
H-NS	nirBDC-cysG[nirBp]	-	[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
H-NS	nrdAB-yfaE[nrdAp]	-	[BPP|S|Binding of purified proteins],[SM|S|Site mutation],[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.]	[GEA|W|Gene expression analysis]	STRONG	
H-NS	nrdDG[nrdDp]	-	[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
H-NS	osmC[osmCp1]	-	[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
H-NS	osmC[osmCp2]	-	[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
H-NS	proVWX[proVp1]	-	[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
H-NS	proVWX[proVp3]	-	[BPP|S|Binding of purified proteins],[AIBSCS|W|Automated inference based on similarity to consensus sequences]	[,[GEA|W|Gene expression analysis]	STRONG	
H-NS	proVWX[proVp]	-	[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
H-NS	rcsA[rcsAp]	-	[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
H-NS	rcsDB[rcsDp]	-	[BPP|S|Binding of purified proteins]	[]	STRONG	
H-NS	relA-mazEF[relAp2]	+	[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
H-NS	rrsB-gltT-rrlB-rrfB[rrsBp1]	-	[BPP|S|Binding of purified proteins]	[]	STRONG	
H-NS	rrsB-gltT-rrlB-rrfB[rrsBp]	-	[BPP|S|Binding of purified proteins]	[]	STRONG	
H-NS	rrsC-gltU-rrlC-rrfC[rrsCp1]	-	[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
H-NS	rrsC-gltU-rrlC-rrfC[rrsCp]	-	[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
H-NS	rrsD-ileU-alaU-rrlD-rrfD-thrV-rrfF[rrsDp1]	-	[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
H-NS	rrsD-ileU-alaU-rrlD-rrfD-thrV-rrfF[rrsDp]	-	[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
H-NS	rrsG-gltW-rrlG-rrfG[rrsGp1]	-	[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis],[TAS|W|Traceable author statement]	STRONG	
H-NS	rrsG-gltW-rrlG-rrfG[rrsGp]	-	[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis],[TAS|W|Traceable author statement]	STRONG	
H-NS	rrsH-ileV-alaV-rrlH-rrfH[rrsHp1]	-	[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
H-NS	rrsH-ileV-alaV-rrlH-rrfH[rrsHp]	-	[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
H-NS	slp-dctR[slpp]	-	[BPP|S|Binding of purified proteins]	[]	STRONG	
H-NS	smtA-mukFEB[cmoMp]	+	[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
H-NS	srlAEBD-gutM-srlR-gutQ[srlAp]	+	[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
H-NS	ssrS[ssrSp1]	-	[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
H-NS	ssrS[ssrSp2]	-	[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
H-NS	ssrS[ssrSp]	-	[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
H-NS	ssrS-ygfA[ssrSp1]	-	[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
H-NS	ssrS-ygfA[ssrSp2]	-	[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
H-NS	ssrS-ygfA[ssrSp]	-	[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
H-NS	stpA[stpAp1]	-	[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
H-NS	yciG[yciGp]	-	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
H-NS	yciGFE[yciGp]	-	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
H-NS	ydeO[ydeOp]	-	[BPP|S|Binding of purified proteins]	[]	STRONG	
H-NS	ydeP[ydePp]	-	[BPP|S|Binding of purified proteins]	[]	STRONG	
H-NS	yhiM[yhiMp]	-	[BPP|S|Binding of purified proteins]	[]	STRONG	
H-NS	yjjP[yjjPp]	-	[BPP|S|Binding of purified proteins]	[BPP|S|Binding of purified proteins]	STRONG	
H-NS	yjjQ-bglJ[yjjQp]	-	[BPP|S|Binding of purified proteins]	[]	STRONG	
HU	galE[galEp1]	-	[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
HU	galE[galEp2]	-	[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
HU	galE[galEp]	-	[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
HU	galET[galEp1]	-	[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
HU	galET[galEp2]	-	[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
HU	galET[galEp]	-	[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
HU	galETK[galEp1]	-	[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
HU	galETK[galEp2]	-	[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
HU	galETK[galEp]	-	[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
HU	galETKM[galEp1]	-	[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
HU	galETKM[galEp2]	-	[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
HU	galETKM[galEp]	-	[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
HU	micF[micFp1]	+	[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
HU	micF[micFp2]	+	[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
HU	mtr[mtrp2]	-	[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
HU	seqA-pgm[seqAp]	-	[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
HU	tyrP[tyrPp1]	-	[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
HcaR	hcaEFCBD[hcaEp]	+	[AIBSCS|W|Automated inference based on similarity to consensus sequences],[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
HcaR	hcaR[hcaRp]	-	[AIBSCS|W|Automated inference based on similarity to consensus sequences],[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
HdfR	flhDC[flhDp]	-	[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
HdfR	gltBDF[gltBp]	+	[BPP|S|Binding of purified proteins]	[]	STRONG	
HdfR	gltBDF[gltBp2]	+	[BPP|S|Binding of purified proteins]	[]	STRONG	
HicB	hicAB[hicAp2]	-	[BPP|S|Binding of purified proteins],[SM|S|Site mutation]	[GEA|W|Gene expression analysis]	STRONG	
HigA	higBA[higBp]	-	[BPP|S|Binding of purified proteins],[IHBCE|W|Inferred by a human based on computational evidence]	[]	STRONG	
HipAB	hipBA[hipBp]	-	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
HipAB	relA-mazEF[relAp1]	-	[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
HipB	fadH[fadHp]	-	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
HipB	hipBA[hipBp]	-	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
HipB	relA-mazEF[relAp1]	-	[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
HprR	cusCFBA[cusCp]	+	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[BPP|S|Binding of purified proteins],[GS|W|genomic SELEX]	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.]	STRONG	
HprR	cusRS[cusRp]	+	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[BPP|S|Binding of purified proteins],[GS|W|genomic SELEX]	[]	STRONG	
HprR	cyoABCDE[cyoAp]	-	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.]	[GEA|W|Gene expression analysis]	WEAK	
HprR	hiuH[hiuHp]	+	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[BPP|S|Binding of purified proteins],[GS|W|genomic SELEX]	[GEA|W|Gene expression analysis]	STRONG	
HyfR	hyfABCDEFGHIJR-focB[hyfAp]	+	[AIBSCS|W|Automated inference based on similarity to consensus sequences]	[GEA|W|Gene expression analysis]	WEAK	
HypT	cydAB[cydAp1]	+	[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
HypT	cysH[cysHp]	+	[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
HypT	fecABCDE[fecAp]	-	[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
HypT	metBL[metBp]	+	[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
HypT	metNIQ[metNp]	+	[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
IHF	aceBAK[aceBp]	+	[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
IHF	acs-yjcHG[acsp1]	-	[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
IHF	acs-yjcHG[acsp2]	-	[AIBSCS|W|Automated inference based on similarity to consensus sequences],[BPP|S|Binding of purified proteins],[SM|S|Site mutation]	[GEA|W|Gene expression analysis]	STRONG	
IHF	acs-yjcHG[acsp]	-	[AIBSCS|W|Automated inference based on similarity to consensus sequences],[BPP|S|Binding of purified proteins],[SM|S|Site mutation]	[GEA|W|Gene expression analysis]	STRONG	
IHF	adiA[adiAp]	+	[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
IHF	amiA-hemF[amiAp]	-	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.]	[]	WEAK	
IHF	atoDAEB[atoDp]	+	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[SM|S|Site mutation]	[GEA|W|Gene expression analysis]	STRONG	
IHF	carAB[carAp1]	+	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[BCE|W|Binding of cellular extracts],[BPP|S|Binding of purified proteins],[SM|S|Site mutation]	[GEA|W|Gene expression analysis]	STRONG	
IHF	csgDEFG[csgDp1]	+	[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
IHF	csgDEFG[csgDp3]	+	[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
IHF	csrB[csrBp]	+	[AIBSCS|W|Automated inference based on similarity to consensus sequences]	[GEA|W|Gene expression analysis]	WEAK	
IHF	cysJIH[cysJp]	+	[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
IHF	dcuD[dcuDp2]	+	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.]	[]	WEAK	
IHF	dmsABC[dmsAp2]	-	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
IHF	dppABCDF[dppAp]	+	[BCE|W|Binding of cellular extracts]	[]	WEAK	
IHF	dps[dpsp]	+	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.]	[]	WEAK	
IHF	dps[dpsp2]	+	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.]	[]	WEAK	
IHF	dusB-fis[dusBp]	+	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[BPP|S|Binding of purified proteins],[SM|S|Site mutation]	[GEA|W|Gene expression analysis]	STRONG	
IHF	fimAICDFGH[fimAp]	+	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.]	[GEA|W|Gene expression analysis]	WEAK	
IHF	fimB[fimBp2]	+	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[BPP|S|Binding of purified proteins],[SM|S|Site mutation]	[]	STRONG	
IHF	flhDC[flhDp]	-	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.]	[]	WEAK	
IHF	fliAZY[fliAp1]	-	[IHBCE|W|Inferred by a human based on computational evidence],[SM|S|Site mutation]	[GEA|W|Gene expression analysis]	STRONG	
IHF	fnr[fnrp]	+	[BPP|S|Binding of purified proteins],[SM|S|Site mutation]	[GEA|W|Gene expression analysis]	STRONG	
IHF	focA-pflB[focAp1]	+	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[BCE|W|Binding of cellular extracts],[BPP|S|Binding of purified proteins],[SM|S|Site mutation]	[GEA|W|Gene expression analysis]	STRONG	
IHF	folA[folAp]	+	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.]	[GEA|W|Gene expression analysis]	WEAK	
IHF	gcd[gcdp1]	+	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[SM|S|Site mutation]	[GEA|W|Gene expression analysis]	STRONG	
IHF	glcDEFGBA[glcDp]	+	[BCE|W|Binding of cellular extracts]	[GEA|W|Gene expression analysis]	WEAK	
IHF	glmY[glmYp1]	+	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[BPP|S|Binding of purified proteins],[SM|S|Site mutation]	[GEA|W|Gene expression analysis]	STRONG	
IHF	glnHPQ[glnHp2]	+	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[BPP|S|Binding of purified proteins],[SM|S|Site mutation]	[]	STRONG	
IHF	glpTQ[glpTQp]	-	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
IHF	gltA[gltAp1]	+	[AIBSCS|W|Automated inference based on similarity to consensus sequences],[BCE|W|Binding of cellular extracts]	[GEA|W|Gene expression analysis]	WEAK	
IHF	gltBDF[gltBp]	+	[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
IHF	gltBDF[gltBp2]	+	[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
IHF	hemA-prfA-prmC[hemAp1]	+	[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
IHF	hemF[hemFp1]	-	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.]	[]	WEAK	
IHF	hipBA[hipBp]	+	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.]	[]	WEAK	
IHF	hpt[hptp]	-	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[SM|S|Site mutation]	[GEA|W|Gene expression analysis]	STRONG	
IHF	hycABCDEFGHI[hycAp]	+	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
IHF	hypABCDE[hypAp]	+	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
IHF	hypABCDE-fhlA[hypAp]	+	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
IHF	ibpB[ibpBp]	+	[AIBSCS|W|Automated inference based on similarity to consensus sequences]	[]	WEAK	
IHF	ihfA[ihfAp4]	-	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[BPP|S|Binding of purified proteins]	[]	STRONG	
IHF	ihfB[ihfBp]	-	[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
IHF	ihfB[ihfBp2]	-	[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
IHF	ilvL[ilvLp1]	-	[BPP|S|Binding of purified proteins],[SM|S|Site mutation],[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.]	[GEA|W|Gene expression analysis]	STRONG	
IHF	ilvL[ilvLp2]	+	[BPP|S|Binding of purified proteins],[SM|S|Site mutation],[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.]	[GEA|W|Gene expression analysis]	STRONG	
IHF	ilvLXG_1G_2MEDA[ilvLp1]	-	[BPP|S|Binding of purified proteins],[SM|S|Site mutation],[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.]	[GEA|W|Gene expression analysis]	STRONG	
IHF	ilvLXG_1G_2MEDA[ilvLp2]	+	[BPP|S|Binding of purified proteins],[SM|S|Site mutation],[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.]	[GEA|W|Gene expression analysis]	STRONG	
